Threads,Read,Write(ntstore),Write(clwb)
1,7.38,4.31,1.44
2,14.50,8.69,3.00
3,21.88,13.00,4.44
4,29.31,17.25,6.00
5,37.63,21.56,7.50
6,46.88,25.75,9.00
7,56.25,29.88,10.31
8,65.38,33.81,11.75
9,73.63,38.13,13.31
10,80.19,42.13,14.75
11,86.44,46.00,16.31
12,91.88,49.56,17.75
13,96.31,52.19,19.19
14,99.88,56.63,20.75
15,101.56,61.44,22.19
16,103.56,64.19,23.75
17,104.88,67.31,25.00
18,105.31,69.63,26.75
19,105.56,71.44,28.13
20,105.38,73.56,29.63
21,105.44,74.63,31.13
22,105.31,75.94,32.56
23,104.81,76.38,34.00
24,104.56,76.81,35.56