AccessSize,Read,Write(ntstore),Write(clwb)
64,9.67,3.166015625,2.75
128,18.75,5.833007813,4.25
256,33.65,12.1875,9.478515625
512,34.23,11.875,9.3125
1024,32.29,11.35351563,8.916015625
2048,29.33,10.52050781,8.25
4096,25.98,9.4375,7.6875
8192,27.08,9.958007813,7.978515625
12288,28.39,10.56152344,8.249023438
16384,29.33,10.95800781,8.6875
20480,30.26,11.47558594,8.872070313
24576,30.85,12.22460938,9.225585938
28672,31.64,11.70507813,9.225585938
32768,32.10,11.6875,9.270507813
36864,32.39,11.74707031,9.413085938
40960,32.64,11.85058594,9.434570313
45056,32.63,12.01660156,9.413085938
49152,32.82,12.32910156,9.475585938
53248,32.99,12.07910156,9.497070313
57344,33.18,11.99609375,9.622070313
61440,33.57,12.03808594,9.497070313
65536,33.79,12.16601563,9.5
131072,35.33,12.375,9.75
262144,36.52,12.58300781,9.93
524288,37.40,12.625,10.0625
1048576,37.75,12.63,10.04101563
2097152,37.93,12.65,10.06